YearsCodePro_n,YearsCode_n,WorkExp_n,EdLevel_n,OrgSize_n,Remote_n,Country_n,DevType_n,lang_count,lang_Python,lang_JavaScript,lang_TypeScript,lang_SQL,lang_Java,lang_CSharp,lang_CPlusPlus,lang_PHP,lang_Go,lang_Rust,IsFullTime,ConvertedCompYearly
4.0,6.0,10.0,5.0,7.0,1.0,10,0.0,7,0,1,1,1,0,1,0,0,0,0,1,107000.0
8.0,15.0,8.0,5.0,3.0,2.0,6,1.0,4,1,0,1,0,0,0,0,0,1,1,1,155429.0
12.0,17.0,12.0,6.0,5.0,0.0,3,1.0,3,0,0,0,1,1,0,0,0,0,0,1,85925.0
10.0,20.0,10.0,6.0,5.0,1.0,10,8.0,8,0,0,1,1,0,1,1,0,0,0,1,120000.0
4.0,8.0,4.0,5.0,8.0,1.0,6,0.0,5,1,1,1,0,1,0,0,0,0,0,1,53757.0
16.0,19.0,19.0,6.0,9.0,1.0,4,8.0,3,0,1,1,0,0,1,0,0,0,0,1,59817.0
7.0,7.0,10.0,3.0,7.0,1.0,6,4.0,2,1,0,1,0,0,0,0,0,0,0,1,53205.0
6.0,7.0,7.0,5.0,4.0,2.0,6,0.0,4,0,1,1,0,0,0,0,1,0,0,1,38240.0
25.0,30.0,30.0,3.0,5.0,1.0,0,0.0,5,0,1,0,0,0,0,0,1,0,0,1,44757.0
4.0,12.0,10.0,5.0,8.0,1.0,10,0.0,8,1,1,1,0,0,0,1,0,0,0,1,130000.0
10.0,14.0,9.0,5.0,6.0,1.0,4,1.0,4,0,0,0,1,1,0,0,0,0,1,1,41872.0
10.0,29.0,10.0,7.0,1.0,0.0,6,10.0,1,0,0,0,0,0,0,0,0,0,0,0,53480.0
20.0,24.0,22.0,6.0,3.0,1.0,10,0.0,9,1,1,1,1,1,1,0,0,1,0,0,180000.0
5.0,7.0,5.0,5.0,4.0,2.0,6,0.0,5,0,0,0,1,0,1,0,0,0,0,1,99099.0
5.0,7.0,5.0,5.0,5.0,1.0,3,2.0,3,0,1,1,0,0,0,0,0,0,0,1,69170.0
4.0,5.0,10.0,6.0,4.0,0.0,3,2.0,3,0,1,1,0,0,0,0,0,0,0,1,64444.0
6.0,10.0,10.0,5.0,4.0,0.0,6,10.0,5,0,1,0,0,0,0,0,1,0,0,0,60000.0
12.0,20.0,12.0,5.0,6.0,0.0,1,0.0,6,1,1,0,1,0,0,0,1,0,0,1,66877.0
24.0,26.0,23.0,4.0,2.0,1.0,6,10.0,15,1,1,1,1,1,1,1,0,1,1,1,206962.0
31.0,35.0,35.0,5.0,5.0,1.0,6,0.0,5,0,1,0,1,0,1,0,0,0,0,0,79894.0
4.0,12.0,10.0,5.0,9.0,0.0,10,10.0,1,0,0,0,0,0,0,0,0,0,0,1,200000.0
24.0,27.0,25.0,5.0,2.0,1.0,10,0.0,8,1,1,1,1,0,1,0,0,0,0,1,190000.0
9.0,11.0,7.0,3.0,8.0,1.0,6,2.0,7,0,1,1,0,0,1,0,0,1,0,1,96748.0
14.0,20.0,14.0,3.0,4.0,1.0,6,1.0,9,1,1,1,1,0,1,0,0,0,1,1,60092.0
18.0,21.0,10.0,5.0,3.0,0.0,3,1.0,4,1,1,0,0,0,0,0,0,0,0,0,58322.0
15.0,15.0,10.0,6.0,4.0,2.0,4,0.0,6,0,1,1,1,0,1,0,1,0,0,1,35890.0
0.0,7.0,10.0,5.0,9.0,2.0,10,5.0,10,1,1,0,1,1,0,0,1,1,1,1,100000.0
13.0,15.0,10.0,6.0,9.0,0.0,6,10.0,1,0,0,0,0,0,0,1,0,0,0,0,123517.0
6.0,8.0,6.0,6.0,5.0,1.0,6,1.0,6,0,0,0,1,1,0,0,0,0,0,0,74110.0
9.0,17.0,7.0,7.0,8.0,1.0,9,10.0,3,1,0,0,0,1,0,0,0,0,0,1,57325.0
15.0,19.0,10.0,1.0,6.0,1.0,6,10.0,8,1,1,1,0,0,1,1,0,0,0,1,134921.0
5.0,7.0,5.0,1.0,3.0,1.0,6,6.0,6,0,1,1,1,0,0,0,1,0,0,1,118919.0
5.0,10.0,5.0,5.0,5.0,1.0,5,1.0,5,0,1,1,1,1,0,0,0,0,0,1,60147.0
7.0,9.0,7.0,5.0,9.0,1.0,9,7.0,5,0,0,1,0,0,0,0,0,0,0,1,99363.0
6.0,20.0,6.0,3.0,5.0,0.0,6,0.0,5,1,1,1,1,1,0,0,0,0,0,0,12146.0
7.0,8.0,7.0,3.0,4.0,0.0,0,0.0,6,0,1,1,1,0,0,0,1,0,0,1,28533.0
18.0,24.0,18.0,5.0,4.0,0.0,10,1.0,4,0,0,0,1,0,1,0,0,0,0,1,170000.0
8.0,10.0,8.0,5.0,5.0,1.0,2,2.0,4,0,1,1,0,0,0,0,0,0,0,1,52771.0
6.0,10.0,10.0,5.0,9.0,1.0,10,8.0,9,0,1,0,0,0,0,1,0,0,1,1,330000.0
5.0,8.0,10.0,6.0,1.0,0.0,10,1.0,8,1,1,1,1,0,0,0,0,1,1,0,180000.0
4.0,7.0,4.0,3.0,4.0,0.0,6,7.0,1,0,0,0,0,0,0,0,0,0,0,1,62954.0
1.0,8.0,10.0,2.0,1.0,2.0,3,7.0,11,1,1,1,1,1,0,1,1,0,1,0,22555.0
8.0,10.0,10.0,6.0,4.0,0.0,8,10.0,4,0,1,1,1,0,0,0,0,0,0,1,110000.0
3.0,5.0,10.0,5.0,4.0,0.0,6,10.0,1,0,0,0,0,0,1,0,0,0,0,1,55370.0
13.0,15.0,15.0,1.0,7.0,1.0,6,10.0,3,0,0,0,1,0,1,0,0,0,0,1,42488.0
3.0,16.0,3.0,2.0,4.0,2.0,6,0.0,3,0,1,0,1,0,0,0,0,0,0,1,21717.0
32.0,38.0,10.0,7.0,9.0,2.0,2,10.0,2,1,0,0,1,0,0,0,0,0,0,1,76328.0
8.0,11.0,7.0,6.0,9.0,1.0,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,171850.0
2.0,6.0,2.0,5.0,2.0,1.0,6,0.0,4,0,0,1,0,0,0,0,0,1,0,1,15359.0
28.0,40.0,10.0,6.0,2.0,1.0,5,0.0,6,1,1,0,1,1,0,0,0,0,0,1,128887.0
25.0,30.0,10.0,3.0,1.0,1.0,6,10.0,19,1,1,1,1,1,0,1,1,1,0,0,10084.0
8.0,8.0,10.0,6.0,9.0,1.0,7,10.0,3,0,1,0,1,0,0,0,0,0,0,1,42425.0
5.0,8.0,5.0,2.0,3.0,0.0,6,0.0,5,1,1,1,0,0,0,0,0,0,0,1,23529.0
5.0,10.0,5.0,5.0,5.0,2.0,6,0.0,4,1,1,1,0,0,0,0,0,0,0,1,10922.0
26.0,30.0,27.0,5.0,8.0,1.0,6,10.0,7,1,0,1,1,1,1,1,0,0,0,1,95384.0
24.0,27.0,25.0,5.0,9.0,0.0,10,10.0,8,1,1,0,1,1,0,0,0,0,0,1,250000.0
5.0,8.0,6.0,6.0,7.0,1.0,3,1.0,3,1,0,0,1,0,0,0,0,1,0,1,77332.0
25.0,25.0,25.0,3.0,5.0,0.0,9,1.0,1,0,0,0,0,0,1,0,0,0,0,1,152865.0
4.0,5.0,5.0,5.0,3.0,1.0,7,2.0,2,0,1,0,0,0,0,0,0,0,0,1,64444.0
9.0,9.0,10.0,5.0,1.0,0.0,6,7.0,4,0,1,1,0,1,0,0,0,0,0,0,36000.0
17.0,21.0,17.0,5.0,4.0,0.0,6,2.0,3,0,1,1,0,0,0,0,0,0,0,1,77332.0
7.0,12.0,10.0,6.0,4.0,0.0,6,1.0,2,0,1,0,0,0,0,0,0,0,0,1,11040.0
5.0,9.0,5.0,5.0,8.0,0.0,10,8.0,3,0,0,0,0,0,0,1,0,0,0,1,250000.0
25.0,28.0,25.0,5.0,5.0,0.0,1,0.0,9,1,1,1,1,1,1,0,0,0,0,1,218079.0
2.0,10.0,2.0,5.0,7.0,1.0,6,10.0,5,1,0,0,0,0,0,1,0,0,1,1,25996.0
5.0,9.0,5.0,5.0,6.0,2.0,8,0.0,9,0,1,0,1,1,1,0,1,0,0,1,45000.0
9.0,19.0,12.0,7.0,3.0,1.0,10,10.0,11,1,1,0,0,1,0,1,0,1,0,1,100000.0
14.0,15.0,15.0,3.0,7.0,0.0,6,7.0,6,1,1,1,0,1,0,0,0,0,0,1,84851.0
11.0,15.0,11.0,6.0,9.0,1.0,9,1.0,7,1,0,1,0,1,0,0,0,1,0,1,146496.0
3.0,7.0,10.0,6.0,4.0,1.0,6,3.0,2,1,0,0,1,0,0,0,0,0,0,1,29057.0
4.0,8.0,10.0,5.0,8.0,1.0,8,1.0,3,1,0,1,0,0,1,0,0,0,0,1,29621.0
13.0,15.0,13.0,5.0,2.0,0.0,10,0.0,4,0,1,0,1,0,1,0,0,0,0,1,200000.0
26.0,27.0,10.0,5.0,4.0,0.0,10,0.0,4,0,1,1,1,0,0,0,0,0,0,1,220000.0
9.0,15.0,9.0,6.0,5.0,2.0,4,7.0,5,1,1,0,0,1,0,0,0,0,0,1,23927.0
12.0,18.0,10.0,5.0,2.0,0.0,6,1.0,7,1,1,0,1,0,1,0,0,0,0,0,44544.0
7.0,13.0,7.0,6.0,2.0,1.0,6,0.0,4,0,0,1,1,1,0,0,0,0,0,1,75184.0
6.0,9.0,5.0,5.0,4.0,1.0,3,0.0,8,1,1,1,1,0,1,0,1,0,0,1,48333.0
11.0,19.0,11.0,3.0,4.0,1.0,6,6.0,3,0,1,1,0,0,0,0,0,0,0,1,95557.0
0.0,15.0,1.0,5.0,5.0,1.0,3,8.0,7,1,1,0,0,0,0,1,0,0,0,1,50481.0
8.0,14.0,10.0,6.0,4.0,2.0,6,2.0,3,0,1,1,0,0,0,0,0,0,0,1,89857.0
5.0,13.0,10.0,6.0,5.0,0.0,6,10.0,6,1,0,1,0,0,0,1,1,0,1,0,78183.0
4.0,5.0,4.0,5.0,8.0,0.0,0,7.0,4,1,0,1,0,0,0,0,0,0,0,1,22378.0
4.0,9.0,10.0,2.0,3.0,0.0,10,10.0,7,0,1,1,0,0,0,0,0,0,1,1,110000.0
21.0,21.0,21.0,3.0,4.0,2.0,6,10.0,6,1,1,0,1,0,0,0,1,0,0,1,19903.0
13.0,19.0,13.0,6.0,9.0,1.0,10,6.0,7,1,0,1,1,0,0,1,0,1,0,1,400000.0
24.0,30.0,25.0,6.0,9.0,1.0,6,0.0,6,0,1,1,1,1,0,0,0,0,0,1,104244.0
4.0,10.0,4.0,6.0,4.0,0.0,9,2.0,3,0,1,0,0,0,1,0,0,0,0,1,95541.0
15.0,20.0,5.0,5.0,5.0,1.0,8,1.0,6,0,1,1,1,0,0,0,1,0,0,1,50000.0
6.0,10.0,10.0,6.0,4.0,0.0,10,1.0,6,1,0,1,1,0,0,1,0,0,0,1,144000.0
31.0,31.0,10.0,5.0,1.0,0.0,10,0.0,13,1,1,1,1,1,1,1,0,0,0,0,150000.0
11.0,20.0,11.0,5.0,7.0,0.0,10,8.0,7,1,1,0,1,0,1,0,0,0,0,1,145000.0
4.0,10.0,8.0,6.0,4.0,0.0,10,10.0,3,1,0,0,0,0,0,1,0,0,0,1,140000.0
3.0,9.0,10.0,5.0,9.0,1.0,10,9.0,6,1,0,0,0,1,0,1,0,0,0,1,105000.0
5.0,8.0,10.0,5.0,4.0,1.0,6,7.0,10,1,1,1,1,0,1,0,0,1,1,1,53703.0
8.0,12.0,8.0,5.0,2.0,1.0,6,0.0,8,0,1,1,1,0,0,1,0,1,0,1,76307.0
18.0,25.0,20.0,6.0,9.0,0.0,10,10.0,3,1,0,0,0,0,0,0,0,0,0,1,140832.0
3.0,10.0,10.0,5.0,5.0,0.0,9,1.0,6,0,0,0,0,1,0,0,0,1,1,1,101910.0
9.0,12.0,10.0,5.0,2.0,0.0,6,0.0,4,0,1,0,1,0,0,0,0,0,0,1,102036.0
2.0,8.0,1.0,2.0,2.0,1.0,6,0.0,9,1,1,0,1,0,0,0,1,0,0,1,13963.0
10.0,15.0,12.0,6.0,9.0,1.0,9,1.0,4,1,1,0,1,0,0,0,1,0,0,1,318470.0
4.0,10.0,4.0,6.0,7.0,1.0,3,10.0,3,1,0,0,0,0,0,0,0,1,0,1,64444.0
8.0,11.0,10.0,6.0,5.0,1.0,9,1.0,7,0,1,0,1,0,0,0,0,1,0,1,159235.0
7.0,10.0,7.0,6.0,9.0,1.0,3,0.0,5,1,1,1,1,0,0,0,0,0,0,1,75554.0
5.0,5.0,8.0,6.0,5.0,0.0,5,10.0,3,1,0,0,1,0,1,0,0,0,0,1,109554.0
26.0,30.0,23.0,5.0,9.0,0.0,10,10.0,3,0,0,0,1,1,0,0,0,0,0,1,140000.0
2.0,7.0,7.0,5.0,2.0,1.0,6,0.0,18,1,1,1,1,1,1,0,1,0,1,0,111417.0
9.0,15.0,10.0,5.0,3.0,1.0,5,9.0,8,1,1,0,1,0,0,1,0,0,1,0,61222.0
24.0,33.0,10.0,5.0,1.0,0.0,7,0.0,5,0,1,0,1,0,0,0,1,0,0,0,64444.0
22.0,40.0,10.0,5.0,4.0,0.0,9,1.0,4,0,1,1,1,0,0,0,0,0,0,0,127388.0
6.0,15.0,10.0,6.0,1.0,0.0,3,0.0,8,1,1,1,1,1,0,0,0,0,0,0,128887.0
24.0,33.0,27.0,5.0,2.0,0.0,8,7.0,1,0,0,0,0,0,0,0,0,0,0,1,30074.0
7.0,10.0,7.0,5.0,4.0,0.0,6,1.0,3,0,0,0,1,0,0,0,0,0,0,1,70000.0
10.0,15.0,10.0,5.0,5.0,1.0,6,2.0,2,0,1,1,0,0,0,0,0,0,0,1,121444.0
20.0,26.0,24.0,5.0,4.0,0.0,10,1.0,5,0,1,0,1,0,0,0,0,0,0,1,90000.0
10.0,16.0,10.0,6.0,5.0,1.0,6,10.0,4,0,0,0,0,1,0,0,0,0,0,1,79189.0
29.0,29.0,29.0,7.0,4.0,0.0,7,5.0,3,1,0,0,1,0,0,0,0,0,0,1,64444.0
6.0,10.0,10.0,5.0,7.0,1.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,84851.0
30.0,36.0,30.0,5.0,9.0,2.0,6,10.0,6,1,1,0,1,1,0,0,0,0,0,1,118919.0
33.0,46.0,10.0,3.0,1.0,1.0,9,10.0,6,0,1,0,0,0,0,0,0,0,0,0,254776.0
14.0,16.0,16.0,6.0,9.0,2.0,10,6.0,4,1,0,0,0,0,0,1,0,0,0,1,230000.0
5.0,9.0,5.0,6.0,5.0,0.0,8,4.0,2,1,0,0,0,0,0,0,0,0,0,1,46801.0
12.0,12.0,12.0,3.0,9.0,0.0,9,3.0,6,1,1,0,1,0,0,0,0,0,0,1,108280.0
6.0,10.0,6.0,5.0,9.0,1.0,6,1.0,7,0,1,1,1,0,1,0,1,0,0,1,46135.0
1.0,1.0,10.0,6.0,9.0,0.0,9,10.0,3,1,0,0,1,0,0,0,0,0,0,1,44586.0
3.0,6.0,10.0,5.0,7.0,0.0,10,10.0,3,1,1,1,0,0,0,0,0,0,0,1,208000.0
2.0,4.0,2.0,5.0,5.0,0.0,8,8.0,5,0,0,0,0,0,1,1,0,0,0,1,28880.0
3.0,3.0,10.0,5.0,6.0,1.0,6,0.0,5,0,1,0,1,0,1,0,0,0,0,1,66066.0
5.0,12.0,5.0,2.0,6.0,0.0,6,10.0,10,1,1,1,1,1,1,0,1,0,1,1,104861.0
5.0,10.0,10.0,3.0,3.0,0.0,0,10.0,1,0,0,0,0,0,1,0,0,0,0,1,13427.0
11.0,12.0,11.0,7.0,5.0,0.0,8,0.0,4,1,1,1,0,0,0,0,0,0,0,1,60000.0
17.0,28.0,17.0,3.0,5.0,0.0,6,6.0,14,1,1,1,1,1,1,1,1,0,0,1,48333.0
8.0,11.0,9.0,5.0,4.0,1.0,6,6.0,11,1,1,1,1,1,0,0,1,1,0,1,124787.0
0.0,4.0,10.0,5.0,5.0,1.0,6,5.0,4,1,0,0,0,1,0,0,0,0,0,1,38666.0
5.0,5.0,5.0,5.0,4.0,2.0,10,0.0,6,0,1,1,1,0,0,0,0,1,0,1,75000.0
14.0,18.0,14.0,5.0,9.0,1.0,10,2.0,7,0,1,1,0,0,1,0,1,0,0,1,98000.0
4.0,10.0,10.0,5.0,9.0,1.0,10,1.0,8,1,0,0,1,1,0,1,0,1,0,1,100000.0
15.0,20.0,16.0,6.0,4.0,0.0,1,0.0,3,0,0,1,0,0,0,0,0,1,0,0,145386.0
8.0,8.0,8.0,6.0,4.0,1.0,6,3.0,3,1,0,0,1,1,0,0,0,0,0,1,80555.0
9.0,13.0,9.0,5.0,8.0,1.0,6,6.0,11,1,1,0,1,1,0,1,1,0,0,1,93023.0
10.0,10.0,10.0,6.0,5.0,0.0,10,6.0,8,1,1,1,1,1,1,0,1,0,0,1,155000.0
11.0,14.0,11.0,5.0,4.0,1.0,6,0.0,8,1,1,1,1,0,1,0,0,0,0,1,74213.0
18.0,30.0,18.0,6.0,3.0,0.0,6,0.0,1,0,0,0,0,0,0,0,0,0,0,1,104399.0
8.0,8.0,10.0,3.0,8.0,1.0,6,2.0,5,0,1,1,1,1,0,0,0,0,0,1,51374.0
24.0,25.0,25.0,6.0,9.0,1.0,9,1.0,2,1,0,0,0,1,0,0,0,0,0,0,191082.0
7.0,9.0,10.0,3.0,5.0,1.0,6,1.0,3,0,0,0,1,0,1,0,0,0,0,1,49333.0
24.0,34.0,24.0,6.0,5.0,0.0,3,0.0,6,0,1,1,1,0,0,0,1,0,0,1,77332.0
14.0,14.0,20.0,6.0,4.0,1.0,6,0.0,6,0,1,1,0,0,0,0,0,1,1,1,38140.0
0.0,7.0,10.0,5.0,5.0,0.0,10,10.0,3,0,0,0,0,0,0,0,0,0,0,1,36000.0
4.0,8.0,8.0,5.0,7.0,1.0,1,2.0,6,1,1,1,1,1,0,0,0,0,0,1,90866.0
21.0,34.0,21.0,7.0,5.0,1.0,3,10.0,8,1,1,0,1,1,1,0,0,0,0,1,59073.0
17.0,17.0,17.0,3.0,3.0,2.0,6,10.0,7,1,1,1,1,0,0,0,1,0,0,1,59073.0
20.0,25.0,20.0,6.0,2.0,2.0,10,0.0,6,0,1,0,1,0,0,0,1,0,0,1,66000.0
5.0,16.0,5.0,6.0,5.0,0.0,10,6.0,6,0,1,1,0,0,0,0,0,1,1,1,160000.0
7.0,12.0,7.0,6.0,6.0,2.0,2,0.0,5,0,1,1,0,1,0,0,0,1,0,1,64444.0
5.0,11.0,10.0,3.0,1.0,0.0,10,0.0,4,1,0,0,1,0,0,0,0,0,0,0,11000.0
5.0,6.0,5.0,5.0,5.0,0.0,0,1.0,6,1,1,1,0,1,0,0,0,1,0,1,72000.0
10.0,15.0,10.0,4.0,9.0,0.0,10,0.0,9,0,1,1,1,1,0,0,0,1,1,1,240000.0
8.0,11.0,8.0,3.0,5.0,0.0,1,0.0,3,1,0,1,0,0,0,0,0,0,0,1,68331.0
6.0,10.0,10.0,6.0,9.0,1.0,10,10.0,3,1,0,0,0,0,0,1,0,0,0,1,140000.0
14.0,15.0,15.0,6.0,7.0,0.0,10,10.0,7,1,0,0,1,1,0,0,0,1,1,1,500000.0
2.0,4.0,2.0,3.0,9.0,1.0,9,1.0,4,1,1,0,0,1,0,0,0,0,0,1,38216.0
23.0,36.0,24.0,6.0,3.0,1.0,5,0.0,6,1,1,0,1,1,1,0,0,0,0,1,91295.0
15.0,33.0,16.0,1.0,1.0,0.0,10,0.0,8,1,1,1,1,0,0,0,1,0,0,1,150000.0
5.0,8.0,5.0,6.0,7.0,1.0,6,10.0,3,1,0,0,0,1,0,0,0,0,0,0,33033.0
5.0,19.0,5.0,7.0,4.0,0.0,6,1.0,3,1,0,0,1,1,0,0,0,0,0,1,15193.0
12.0,18.0,12.0,3.0,4.0,0.0,0,1.0,2,0,0,0,0,0,0,0,0,0,0,1,132000.0
3.0,11.0,3.0,5.0,3.0,0.0,10,0.0,2,0,1,0,0,0,0,0,0,1,0,1,112000.0
18.0,20.0,19.0,5.0,1.0,1.0,10,2.0,5,0,1,1,1,0,1,0,0,0,0,1,360000.0
10.0,11.0,10.0,6.0,9.0,1.0,5,0.0,9,1,1,1,1,1,0,0,1,0,0,0,55851.0
5.0,7.0,7.0,5.0,4.0,1.0,6,1.0,8,1,1,1,1,1,0,0,1,0,0,1,128887.0
5.0,5.0,17.0,5.0,9.0,1.0,9,10.0,3,0,0,0,1,1,0,0,0,0,0,1,80254.0
5.0,7.0,5.0,6.0,7.0,1.0,9,1.0,8,1,1,1,1,0,0,0,0,0,1,1,57325.0
4.0,8.0,4.0,5.0,9.0,0.0,6,1.0,7,1,1,1,1,1,0,0,0,0,0,1,32222.0
18.0,22.0,18.0,5.0,7.0,0.0,7,7.0,1,0,0,0,0,0,0,0,0,0,0,1,48333.0
3.0,10.0,10.0,5.0,8.0,0.0,10,9.0,6,1,0,0,0,0,0,1,0,0,0,1,87000.0
23.0,40.0,10.0,5.0,5.0,1.0,6,1.0,7,1,0,0,0,0,1,0,0,0,0,1,116989.0
5.0,8.0,5.0,3.0,4.0,1.0,3,1.0,2,1,0,0,0,1,0,0,0,0,0,0,18259.0
6.0,10.0,6.0,5.0,9.0,0.0,7,1.0,4,0,0,0,1,1,0,0,0,0,0,1,96666.0
5.0,7.0,10.0,2.0,9.0,0.0,9,0.0,6,1,1,0,1,0,0,0,0,1,0,0,216559.0
49.0,51.0,10.0,5.0,1.0,1.0,1,0.0,5,0,1,0,1,0,0,0,1,0,0,0,43616.0
8.0,12.0,10.0,3.0,4.0,1.0,6,10.0,2,0,0,0,0,1,0,0,0,0,1,1,96096.0
5.0,8.0,10.0,5.0,4.0,1.0,3,0.0,5,1,1,0,1,0,0,0,0,0,0,1,98814.0
18.0,30.0,18.0,5.0,9.0,1.0,6,0.0,7,0,1,1,1,1,1,0,1,0,0,1,202382.0
12.0,15.0,10.0,5.0,1.0,0.0,9,10.0,3,1,1,0,0,0,0,0,0,0,0,0,152865.0
1.0,7.0,1.0,5.0,9.0,1.0,10,1.0,4,1,0,0,1,0,1,0,0,0,0,1,72000.0
1.0,8.0,10.0,5.0,3.0,2.0,6,0.0,8,1,1,1,1,1,1,0,0,0,0,1,15359.0
0.0,6.0,10.0,5.0,4.0,1.0,10,0.0,6,1,1,1,1,1,0,0,0,0,0,1,63330.0
3.0,10.0,10.0,6.0,2.0,0.0,6,10.0,5,1,0,0,0,0,0,0,0,1,1,0,24512.0
6.0,18.0,6.0,3.0,3.0,0.0,3,1.0,3,0,0,1,0,0,1,0,0,0,0,1,85925.0
13.0,15.0,13.0,5.0,4.0,1.0,6,0.0,4,1,1,0,0,0,0,0,0,0,0,1,111417.0
30.0,32.0,30.0,6.0,9.0,0.0,9,6.0,10,1,1,1,0,1,1,0,0,1,0,0,229298.0
4.0,14.0,10.0,5.0,3.0,1.0,9,2.0,3,0,0,0,0,0,0,0,0,0,0,1,47134.0
2.0,8.0,2.0,3.0,9.0,2.0,10,10.0,8,1,1,1,0,0,0,1,0,0,1,1,70000.0
25.0,30.0,25.0,6.0,4.0,1.0,6,10.0,2,0,0,0,0,1,0,0,0,0,0,1,94445.0
3.0,7.0,3.0,5.0,4.0,2.0,6,1.0,2,0,0,0,1,0,1,0,0,0,0,1,71962.0
6.0,10.0,6.0,6.0,8.0,2.0,9,0.0,7,1,0,0,1,0,1,1,0,0,0,1,78980.0
18.0,30.0,20.0,6.0,7.0,1.0,6,10.0,2,0,0,0,0,0,1,0,0,0,0,1,76091.0
9.0,18.0,6.0,6.0,8.0,1.0,6,10.0,4,1,0,0,1,0,0,0,0,0,0,1,34338.0
24.0,30.0,20.0,5.0,7.0,1.0,6,5.0,4,1,0,0,0,0,1,0,0,1,0,1,145715.0
28.0,40.0,10.0,5.0,7.0,1.0,9,0.0,7,1,1,0,1,0,1,1,1,0,0,1,45860.0
5.0,10.0,10.0,5.0,5.0,1.0,0,0.0,11,1,1,1,1,0,1,0,0,0,0,1,19245.0
16.0,49.0,10.0,3.0,1.0,1.0,6,7.0,3,0,0,0,0,0,0,0,1,0,0,0,80555.0
10.0,13.0,10.0,5.0,1.0,0.0,6,0.0,5,0,1,1,0,1,0,0,1,0,0,0,42962.0
6.0,12.0,5.0,6.0,4.0,1.0,6,0.0,9,1,1,1,1,0,1,0,0,1,0,1,54974.0
6.0,8.0,13.0,7.0,2.0,1.0,6,10.0,5,0,0,0,0,0,0,0,0,0,0,0,19603.0
13.0,17.0,13.0,6.0,6.0,1.0,6,1.0,6,1,1,1,1,0,0,0,0,0,0,1,237600.0
4.0,9.0,4.0,5.0,3.0,1.0,6,0.0,4,0,0,1,0,0,0,0,0,0,1,1,48074.0
